Id,ICESName,West,South,East,North,Scale,Filename,ImageWidth,ImageHeight,ImageWest, ImageSouth,ImageEast,ImageNorth,ContainerRectangle
54293,39G13,11.0,55.0,11.5,55.25,3,39G13.png,2000,2000,11.0,54.981993,11.5,55.267886,5429
54294,39G14,11.5,55.0,12.0,55.25,3,39G14.png,2000,2000,11.5,54.981993,12.0,55.267886,5429
5430,40G1,11.0,55.5,12.0,56.0,2,40G1.png,2000,2000,11.0,55.468388,12.0,56.031184,1
54301,40G11,11.0,55.75,11.5,56.0,3,40G11.png,2000,2000,11.0,55.734698,11.5,56.015197,5430
54302,40G12,11.5,55.75,12.0,56.0,3,40G12.png,2000,2000,11.5,55.734698,12.0,56.015197,5430
54303,40G13,11.0,55.5,11.5,55.75,3,40G13.png,2000,2000,11.0,55.483794,11.5,55.766096,5430
54304,40G14,11.5,55.5,12.0,55.75,3,40G14.png,2000,2000,11.5,55.483794,12.0,55.766096,5430
5431,41G1,11.0,56.0,12.0,56.5,2,41G1.png,2000,2000,11.0,55.972028,12.0,56.527589,1
54311,41G11,11.0,56.25,11.5,56.5,3,41G11.png,2000,2000,11.0,56.236515,11.5,56.513392,5431
54312,41G12,11.5,56.25,12.0,56.5,3,41G12.png,2000,2000,11.5,56.236515,12.0,56.513392,5431
54313,41G13,11.0,56.0,11.5,56.25,3,41G13.png,2000,2000,11.0,55.985606,11.5,56.264296,5431
54314,41G14,11.5,56.0,12.0,56.25,3,41G14.png,2000,2000,11.5,55.985606,12.0,56.264296,5431
5432,42G1,11.0,56.5,12.0,57.0,2,42G1.png,2000,2000,11.0,56.47569,12.0,57.023974,1
54321,42G11,11.0,56.75,11.5,57.0,3,42G11.png,2000,2000,11.0,56.738343,11.5,57.011576,5432
54322,42G12,11.5,56.75,12.0,57.0,3,42G12.png,2000,2000,11.5,56.738343,12.0,57.011576,5432
54323,42G13,11.0,56.5,11.5,56.75,3,42G13.png,2000,2000,11.0,56.487428,11.5,56.762485,5432
